guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: ひまです。
guild 938313501615726593 channel 938314822540484618 | パブロ、テリー、YMM4使いのレーニン#0511#0000: アンミカってだけで信ぴょう性が高くなる広告
guild 938313369147035688 channel 938314864210874368 | パブロ、テリー、YMM4使いのレーニン#0511#0000: アンミカってだけで信ぴょう性が高くなる広告
guild 938313501615726593 channel 938314822540484618 | パブロ、テリー、YMM4使いのレーニン#0511#0000: ただしほんとに監修してるかは調べるのめんどいからしてない問題
guild 938313369147035688 channel 938314864210874368 | パブロ、テリー、YMM4使いのレーニン#0511#0000: ただしほんとに監修してるかは調べるのめんどいからしてない問題
guild 938313481067831307 channel 938314845567201320 | パブロ、テリー、YMM4使いのレーニン#0511#0000: ただしほんとに監修してるかは調べるのめんどいからしてない問題
guild 938312619889156186 channel 938314878416986162 | パブロ、テリー、YMM4使いのレーニン#0511#0000: ただしほんとに監修してるかは調べるのめんどいからしてない問題
guild 938313501615726593 channel 938314822540484618 | ニッシー#6742#0000: 草
guild 938312619889156186 channel 938314878416986162 | ニッシー#6742#0000: 草
guild 938313369147035688 channel 938314864210874368 | ニッシー#6742#0000: 草
guild 938313481067831307 channel 938314845567201320 | ニッシー#6742#0000: 草
guild 938313481067831307 channel 938314845567201320 | ニッシー#6742#0000: １
guild 938313501615726593 channel 938314822540484618 | ニッシー#6742#0000: １
guild 938312619889156186 channel 938314878416986162 | ニッシー#6742#0000: １
guild 938313369147035688 channel 938314864210874368 | ニッシー#6742#0000: １
guild 938313481067831307 channel 938314845567201320 | 問題児#4830#0000: 2
guild 938313501615726593 channel 938314822540484618 | 問題児#4830#0000: 2
guild 938313369147035688 channel 938314864210874368 | 問題児#4830#0000: 2
guild 938312619889156186 channel 938314878416986162 | 問題児#4830#0000: 2
guild 938313501615726593 channel 938314822540484618 | ニッシー#6742#0000: 3
guild 938312619889156186 channel 938314878416986162 | ニッシー#6742#0000: 3
guild 938313481067831307 channel 938314845567201320 | ニッシー#6742#0000: 3
guild 938313369147035688 channel 938314864210874368 | ニッシー#6742#0000: 3
guild 938313501615726593 channel 938314822540484618 | 問題児#4830#0000: 監修って200種類あるんですよ( ﾟσωﾟ)
guild 938313369147035688 channel 938314864210874368 | 問題児#4830#0000: 監修って200種類あるんですよ( ﾟσωﾟ)
guild 938313481067831307 channel 938314845567201320 | 問題児#4830#0000: 監修って200種類あるんですよ( ﾟσωﾟ)
guild 938312619889156186 channel 938314878416986162 | 問題児#4830#0000: 監修って200種類あるんですよ( ﾟσωﾟ)
guild 938313481067831307 channel 938314845567201320 | 問題児#4830#0000: おはよう世界
guild 938312619889156186 channel 938314878416986162 | 問題児#4830#0000: おはよう世界
guild 938313501615726593 channel 938314822540484618 | 問題児#4830#0000: おはよう世界
guild 938313369147035688 channel 938314864210874368 | 問題児#4830#0000: おはよう世界
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: ん。``
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: ん。
のなめ一回生ipでどっかの掲示板にログインしてそれでそこの管理者に内の元フレさんがのなめのip貰ってたことあったから
今回も間違えてTwitterでリアルSMS認証したのかも。
まぁ、その可能性は限りなく低い気がするけど。
guild 938313481067831307 channel 938314845567201320 | あくび#9527#0000: 草
guild 938312619889156186 channel 938314878416986162 | あくび#9527#0000: 草
guild 938313369147035688 channel 938314864210874368 | あくび#9527#0000: 草
guild 938313501615726593 channel 938314822540484618 | Tsukikoh#0721#0000: 大喜利ネタになっている「支離滅裂な思考・発言」という画像について、元絵の掲載されている書籍の版元が、本来の主旨から外れたものであり使用を「厳に」慎んでほしいと要請を出しています。

https://twitter.com/radio_rimland/status/1045858717697114112

https://www.natsume.co.jp/topics/news/10368
guild 938312619889156186 channel 938314878416986162 | Tsukikoh#0721#0000: 大喜利ネタになっている「支離滅裂な思考・発言」という画像について、元絵の掲載されている書籍の版元が、本来の主旨から外れたものであり使用を「厳に」慎んでほしいと要請を出しています。

https://twitter.com/radio_rimland/status/1045858717697114112

https://www.natsume.co.jp/topics/news/10368
guild 938313481067831307 channel 938314845567201320 | Tsukikoh#0721#0000: 大喜利ネタになっている「支離滅裂な思考・発言」という画像について、元絵の掲載されている書籍の版元が、本来の主旨から外れたものであり使用を「厳に」慎んでほしいと要請を出しています。

https://twitter.com/radio_rimland/status/1045858717697114112

https://www.natsume.co.jp/topics/news/10368
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: 草
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: 草
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: 草
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: 草
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: 作者怒らせちゃったかぁ…()
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: 作者怒らせちゃったかぁ…()
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: 作者怒らせちゃったかぁ…()
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: 作者怒らせちゃったかぁ…()
guild 938312619889156186 channel 938314878416986162 | 問題児#4830#0000: 🙀
guild 938313481067831307 channel 938314845567201320 | 問題児#4830#0000: 🙀
guild 938313501615726593 channel 938314822540484618 | 問題児#4830#0000: 🙀
guild 938313369147035688 channel 938314864210874368 | 問題児#4830#0000: 🙀
guild 886502353543503922 channel 944245940791951360 | DreamCatchers#2440: 
guild 886502353543503922 channel 923479372130836481 | MEE6#4876: GG <@938312233430159420>, you just advanced to level 2!
guild 886502353543503922 channel 944245940791951360 | DreamCatchers#2440: この垢のSelf-botも起動してたんだ。
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 分かる。
guild 938313501615726593 channel 938314822540484618 | ゲーム依存社社長の秘書　さっぴぃですぅ(๑˃̵ᴗ˂̵)#5779#0000: これからあさくさいてきます
guild 938312619889156186 channel 938314878416986162 | ゲーム依存社社長の秘書　さっぴぃですぅ(๑˃̵ᴗ˂̵)#5779#0000: これからあさくさいてきます
guild 938313369147035688 channel 938314864210874368 | ゲーム依存社社長の秘書　さっぴぃですぅ(๑˃̵ᴗ˂̵)#5779#0000: これからあさくさいてきます
guild 938313481067831307 channel 938314845567201320 | ゲーム依存社社長の秘書　さっぴぃですぅ(๑˃̵ᴗ˂̵)#5779#0000: これからあさくさいてきます
guild 938313369147035688 channel 938314864210874368 | ゲーム依存社社長の秘書　さっぴぃですぅ(๑˃̵ᴗ˂̵)#5779#0000: ばばい
guild 938313501615726593 channel 938314822540484618 | ゲーム依存社社長の秘書　さっぴぃですぅ(๑˃̵ᴗ˂̵)#5779#0000: ばばい
guild 938312619889156186 channel 938314878416986162 | ゲーム依存社社長の秘書　さっぴぃですぅ(๑˃̵ᴗ˂̵)#5779#0000: ばばい
guild 938313481067831307 channel 938314845567201320 | ゲーム依存社社長の秘書　さっぴぃですぅ(๑˃̵ᴗ˂̵)#5779#0000: ばばい
guild 938313481067831307 channel 938314845567201320 | 美海-みみ#1586#0000: 行ってらっしゃい〜
guild 938312619889156186 channel 938314878416986162 | 美海-みみ#1586#0000: 行ってらっしゃい〜
guild 938313501615726593 channel 938314822540484618 | 美海-みみ#1586#0000: 行ってらっしゃい〜
guild 938313369147035688 channel 938314864210874368 | 美海-みみ#1586#0000: 行ってらっしゃい〜
guild 938312619889156186 channel 938314878416986162 | 問題児#4830#0000: ねむ
guild 938313481067831307 channel 938314845567201320 | 問題児#4830#0000: ねむ
guild 938313481067831307 channel 938314845567201320 | すずっぴ#9161#0000: ねむいの？
guild 938312619889156186 channel 938314878416986162 | すずっぴ#9161#0000: ねむいの？
guild 938313501615726593 channel 938314822540484618 | すずっぴ#9161#0000: ねむいの？
guild 938313369147035688 channel 938314864210874368 | すずっぴ#9161#0000: ねむいの？
guild 938313369147035688 channel 938314864210874368 | ℱ𝒶𝒾𝓃𝑒𝓇 𝒢𝒶𝓁𝒶𝓍𝓎 リア#5975#0000: 寝るんだぁ
guild 938313501615726593 channel 938314822540484618 | ℱ𝒶𝒾𝓃𝑒𝓇 𝒢𝒶𝓁𝒶𝓍𝓎 リア#5975#0000: 寝るんだぁ
guild 938312619889156186 channel 938314878416986162 | ℱ𝒶𝒾𝓃𝑒𝓇 𝒢𝒶𝓁𝒶𝓍𝓎 リア#5975#0000: 寝るんだぁ
guild 938313481067831307 channel 938314845567201320 | ℱ𝒶𝒾𝓃𝑒𝓇 𝒢𝒶𝓁𝒶𝓍𝓎 リア#5975#0000: 寝るんだぁ
guild 938313501615726593 channel 938314822540484618 | すずっぴ#9161#0000: ねーむれーねーむれー
guild 938313369147035688 channel 938314864210874368 | すずっぴ#9161#0000: ねーむれーねーむれー
guild 938312619889156186 channel 938314878416986162 | すずっぴ#9161#0000: ねーむれーねーむれー
guild 938313481067831307 channel 938314845567201320 | すずっぴ#9161#0000: ねーむれーねーむれー
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: ﾄﾞｰﾓ
父に家鍵を渡したおかげで帰れません。じーおんです
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: ﾄﾞｰﾓ
父に家鍵を渡したおかげで帰れません。じーおんです
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: ﾄﾞｰﾓ
父に家鍵を渡したおかげで帰れません。じーおんです
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: ﾄﾞｰﾓ
父に家鍵を渡したおかげで帰れません。じーおんです
guild 938312619889156186 channel 938314878416986162 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: トキハ(読み:ときわ)本店で珍しい手書き看板発見
guild 938313501615726593 channel 938314822540484618 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: トキハ(読み:ときわ)本店で珍しい手書き看板発見
guild 938313369147035688 channel 938314864210874368 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: トキハ(読み:ときわ)本店で珍しい手書き看板発見
guild 938313481067831307 channel 938314845567201320 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: トキハ(読み:ときわ)本店で珍しい手書き看板発見
guild 938313481067831307 channel 938314845567201320 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: 昭和感がたまらない
guild 938312619889156186 channel 938314878416986162 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: 昭和感がたまらない
guild 938313501615726593 channel 938314822540484618 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: 昭和感がたまらない
guild 938313369147035688 channel 938314864210874368 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: 昭和感がたまらない
guild 938312619889156186 channel 938314878416986162 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: エレベーター籠内の意匠よ
1980~90年代のぐらいの雰囲気なのでCL系統(特注)のルミナスっぽい
guild 938313481067831307 channel 938314845567201320 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: エレベーター籠内の意匠よ
1980~90年代のぐらいの雰囲気なのでCL系統(特注)のルミナスっぽい
guild 938313501615726593 channel 938314822540484618 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: エレベーター籠内の意匠よ
1980~90年代のぐらいの雰囲気なのでCL系統(特注)のルミナスっぽい
guild 938313369147035688 channel 938314864210874368 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: エレベーター籠内の意匠よ
1980~90年代のぐらいの雰囲気なのでCL系統(特注)のルミナスっぽい
guild 938313481067831307 channel 938314845567201320 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: 
guild 938313501615726593 channel 938314822540484618 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: 
guild 938312619889156186 channel 938314878416986162 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: 
guild 938313369147035688 channel 938314864210874368 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: 
guild 938313501615726593 channel 938314822540484618 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: Taco(タコス)
guild 938313369147035688 channel 938314864210874368 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: Taco(タコス)
guild 938312619889156186 channel 938314878416986162 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: Taco(タコス)
guild 938313481067831307 channel 938314845567201320 | 𝕪𝕠𝕜𝕠𝕘𝕒𝕨𝕒 𝕤𝕥𝕒.#2732#0000: Taco(タコス)
guild 938312619889156186 channel 938314878416986162 | すずっぴ#9161#0000: 美味そう
guild 938313369147035688 channel 938314864210874368 | すずっぴ#9161#0000: 美味そう
guild 938313501615726593 channel 938314822540484618 | すずっぴ#9161#0000: 美味そう
guild 938313481067831307 channel 938314845567201320 | すずっぴ#9161#0000: 美味そう
guild 938313369147035688 channel 938314864210874368 | すずっぴ#9161#0000: タコスって食べたことないんだよなぁ
guild 938312619889156186 channel 938314878416986162 | すずっぴ#9161#0000: タコスって食べたことないんだよなぁ
guild 938313481067831307 channel 938314845567201320 | すずっぴ#9161#0000: タコスって食べたことないんだよなぁ
guild 938313501615726593 channel 938314822540484618 | すずっぴ#9161#0000: タコスって食べたことないんだよなぁ
guild 938312619889156186 channel 938314878416986162 | すずっぴ#9161#0000: 美味しい？
guild 938313369147035688 channel 938314864210874368 | すずっぴ#9161#0000: 美味しい？
guild 938313501615726593 channel 938314822540484618 | すずっぴ#9161#0000: 美味しい？
guild 938313481067831307 channel 938314845567201320 | すずっぴ#9161#0000: 美味しい？
guild 938313369147035688 channel 938314864210874368 | すずっぴ#9161#0000: KFC見てるかな？
guild 938312619889156186 channel 938314878416986162 | あああああ#7603#0000: おお
guild 938313501615726593 channel 938314822540484618 | あああああ#7603#0000: おお
guild 938313369147035688 channel 938314864210874368 | r_r#7777#0000: なんか怖い
guild 938313501615726593 channel 938314822540484618 | r_r#7777#0000: なんか怖い
guild 938312619889156186 channel 938314878416986162 | r_r#7777#0000: なんか怖い
guild 938313481067831307 channel 938314845567201320 | r_r#7777#0000: なんか怖い
guild 938313501615726593 channel 938314822540484618 | 256大好き!#1692#0000: 2:56分です
256を祈りましょう！！！！！！
guild 938313369147035688 channel 938314864210874368 | 256大好き!#1692#0000: 2:56分です
256を祈りましょう！！！！！！
guild 938312619889156186 channel 938314878416986162 | 256大好き!#1692#0000: 2:56分です
256を祈りましょう！！！！！！
guild 938313501615726593 channel 938314822540484618 | gytf4352#5589#0000: 🤔
guild 938313481067831307 channel 938314845567201320 | gytf4352#5589#0000: 🤔
guild 938312619889156186 channel 938314878416986162 | gytf4352#5589#0000: 🤔
guild 938313369147035688 channel 938314864210874368 | gytf4352#5589#0000: 🤔
guild 886502353543503922 channel 944245940791951360 | trace_v2#1784: （ ＾ω＾）おっ
guild 886502353543503922 channel 923479372130836481 | MEE6#4876: GG <@982602657652949073>, you just advanced to level 9!
guild 938313501615726593 channel 938314822540484618 | じーおんくん(がらくたのすがた)#9561#0000: チャリのリアブレーキ飛んだ()
後で直す
guild 938312619889156186 channel 938314878416986162 | じーおんくん(がらくたのすがた)#9561#0000: チャリのリアブレーキ飛んだ()
後で直す
guild 938313481067831307 channel 938314845567201320 | じーおんくん(がらくたのすがた)#9561#0000: チャリのリアブレーキ飛んだ()
後で直す
guild 938313369147035688 channel 938314864210874368 | じーおんくん(がらくたのすがた)#9561#0000: チャリのリアブレーキ飛んだ()
後で直す
guild 886502353543503922 channel 930020923237617694 | Yui_Asary#5823: https://youtube.com/shorts/WKsIcZ8iVPs?feature=share
guild 886502353543503922 channel 930020923237617694 | Yui_Asary#5823: おじゅん、、、？
guild 938313501615726593 channel 938314822540484618 | 問題児#4830#0000: 
guild 938313369147035688 channel 938314864210874368 | 問題児#4830#0000: 
guild 938313481067831307 channel 938314845567201320 | 問題児#4830#0000: 
guild 938312619889156186 channel 938314878416986162 | 問題児#4830#0000: 
guild 938313501615726593 channel 938314822540484618 | 問題児#4830#0000: 傷んでるものシリーズ第2弾
guild 938312619889156186 channel 938314878416986162 | 問題児#4830#0000: 傷んでるものシリーズ第2弾
guild 938313481067831307 channel 938314845567201320 | 問題児#4830#0000: 傷んでるものシリーズ第2弾
guild 938313369147035688 channel 938314864210874368 | 問題児#4830#0000: 傷んでるものシリーズ第2弾
guild 938313481067831307 channel 938314845567201320 | 問題児#4830#0000: 今回のは形が残ってるからまし
guild 938312619889156186 channel 938314878416986162 | 問題児#4830#0000: 今回のは形が残ってるからまし
guild 938313501615726593 channel 938314822540484618 | 問題児#4830#0000: 今回のは形が残ってるからまし
guild 938313369147035688 channel 938314864210874368 | 問題児#4830#0000: 今回のは形が残ってるからまし
guild 938313501615726593 channel 938314822540484618 | すずっぴ#9161#0000: ひどいね
guild 938313369147035688 channel 938314864210874368 | すずっぴ#9161#0000: ひどいね
guild 938312619889156186 channel 938314878416986162 | すずっぴ#9161#0000: ひどいね
guild 938313481067831307 channel 938314845567201320 | すずっぴ#9161#0000: ひどいね
guild 886502353543503922 channel 930020923237617694 | りんご#0621: くさ
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: こういうの
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: そのままそれtemplateとして使っていいよ。
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: そのつもり
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: ちょっと書いてくる
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: https://github.com/Merubokkusu/Discord-S.C.U.M
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: がんば～
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: なるほど…Arduino的なノリで書いていくのか……
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: というかasync/awaitじゃない違和感すごい
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: 分かる。
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: まぁ、ctxはPypiから消えたし?
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: ちゃんと復活してます。
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: ユーザーIDってrespの中のどこにある？
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: ドキュメント見に行くのだるいマン
guild 886502353543503922 channel 930020923237617694 | 320#6475: なるほどな
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: message['author']['discriminator']で名前とタグは確認できる、IDは～、、、内も正直じっくりとは見てないから知らないですごめんなさい。
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: あ、でも前Guild全員のUseridをdiscumで取得してたような。
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: bot.gateway.commandって何？
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: discord.pyにおけるClient.on_messageとおんなじものと思っていいの？
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: それともbot.commandなのか
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: Bot.Commandのはず。
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: なるほど
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: メッセージ受けとる度に登録されたやつ全て実行されるの？
guild 886502353543503922 channel 930020923237617694 | DreamCatchers#2440: うん、メッセージを受信したらそうだね。
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: な～るほも～
guild 886502353543503922 channel 930020923237617694 | Shiumano#9083: さて、respの記述が見当たんねぇ…
guild 938313369147035688 channel 938314864210874368 | soiiiso#9898#0000: 埼玉県 東松山市 下野本地区、今泉地区、下唐子地区、下押垂地区、上押垂地区、下青鳥地区、あずま町地区、早俣地区、上唐子地区、石橋地区、正代地区、大黒部地区、宮鼻地区、高坂第一地区、、赤城地区、岩殿地区、神戸地区、葛袋地区：避難指示

埼玉県 東松山市 毛塚地区、田木地区：緊急安全確保

東松山市に避難指示、緊急安全確保が発令されました。
落ち着いて行動してください、discordを見てる暇はありません。

ソース：https://www3.nhk.or.jp/shutoken-news/20220712/1000082211.html
guild 938313501615726593 channel 938314822540484618 | soiiiso#9898#0000: 埼玉県 東松山市 下野本地区、今泉地区、下唐子地区、下押垂地区、上押垂地区、下青鳥地区、あずま町地区、早俣地区、上唐子地区、石橋地区、正代地区、大黒部地区、宮鼻地区、高坂第一地区、、赤城地区、岩殿地区、神戸地区、葛袋地区：避難指示

埼玉県 東松山市 毛塚地区、田木地区：緊急安全確保

東松山市に避難指示、緊急安全確保が発令されました。
落ち着いて行動してください、discordを見てる暇はありません。

ソース：https://www3.nhk.or.jp/shutoken-news/20220712/1000082211.html
guild 938313481067831307 channel 938314845567201320 | soiiiso#9898#0000: 埼玉県 東松山市 下野本地区、今泉地区、下唐子地区、下押垂地区、上押垂地区、下青鳥地区、あずま町地区、早俣地区、上唐子地区、石橋地区、正代地区、大黒部地区、宮鼻地区、高坂第一地区、、赤城地区、岩殿地区、神戸地区、葛袋地区：避難指示

埼玉県 東松山市 毛塚地区、田木地区：緊急安全確保

東松山市に避難指示、緊急安全確保が発令されました。
落ち着いて行動してください、discordを見てる暇はありません。

ソース：https://www3.nhk.or.jp/shutoken-news/20220712/1000082211.html
guild 938312619889156186 channel 938314878416986162 | soiiiso#9898#0000: 埼玉県 東松山市 下野本地区、今泉地区、下唐子地区、下押垂地区、上押垂地区、下青鳥地区、あずま町地区、早俣地区、上唐子地区、石橋地区、正代地区、大黒部地区、宮鼻地区、高坂第一地区、、赤城地区、岩殿地区、神戸地区、葛袋地区：避難指示

埼玉県 東松山市 毛塚地区、田木地区：緊急安全確保

東松山市に避難指示、緊急安全確保が発令されました。
落ち着いて行動してください、discordを見てる暇はありません。

ソース：https://www3.nhk.or.jp/shutoken-news/20220712/1000082211.html
